,date_time,headlines
63,2021-01-22 09:38:04.211,"Rupee And Bond Update - January 22, 2021: Reliance Securities "
64,2021-01-21 08:54:09.662,"Rupee And Bond Update - January 21, 2021: Reliance Securities "
65,2021-01-20 10:00:26.050,"Rupee And Bond Update - January 20, 2021: Reliance Securities"
66,2021-01-19 09:24:46.206,"Rupee And Bond Update - January 19, 2021: Reliance Securities"
67,2021-01-18 09:01:29.405,"Rupee And Bond Update - January 18, 2021: Reliance Securities"
68,2021-01-15 11:35:48.135,"Rupee And Bond Update - January 15, 2021: Reliance Securities"
69,2021-01-14 09:29:56.035,Rupee And Bond Update For Jan. 14: Reliance Securities
70,2021-01-13 09:12:16.627,"Rupee And Bond Update - January 13, 2021: Reliance Securities "
71,2021-01-12 11:25:51.675,"Cement Q3 Earnings Preview: Robust Performance On Improved Volume, Says Reliance Securities"
72,2021-01-12 09:22:51.292,"Rupee And Bond Update - January 12, 2021: Reliance Securities "
73,2021-01-11 09:46:05.518,"Rupee And Bond Update - January 11, 2021: Reliance Securities "
74,2021-01-08 08:55:31.997,"Rupee And Bond Update - January 08, 2021: Reliance Securities "
75,2021-01-07 09:03:46.511,"Rupee And Bond Update - January 07, 2021: Reliance Securities "
76,2021-01-06 08:59:27.713,"Rupee And Bond Update - January 06, 2021: Reliance Securities "
77,2021-01-05 08:37:50.823,"Rupee And Bond Update - January 05, 2021: Reliance Securities"
78,2020-12-24 09:15:18.757,"Rupee And Bond Update - December 24, 2020: Reliance Securities "
79,2020-12-22 09:13:17.457,"Rupee And Bond Update - December 22, 2020: Reliance Securities "
80,2020-12-21 09:05:14.828,"Rupee And Bond Update - December 21, 2020: Reliance Securities "
81,2020-12-17 09:13:22.854,"Rupee And Bond Update - December 17, 2020: Reliance Securities "
82,2020-12-16 08:58:19.412,"Reliance Securities: Currency And Bond Update - December 16, 2020"
83,2020-12-15 23:37:45.267,Reliance Securities: Sun TV Network Update - Directional Long 
84,2020-12-15 08:50:04.049,"Reliance Securities: Currency And Bond Update - December 15, 2020"
85,2020-12-14 16:58:42.502,Reliance Securities: Auto Sector Check - Higher YoY Volume On Festive Sales; MoM Volume Declines
86,2020-12-14 16:41:54.974,Reliance Securities: HG Infra Engineering Poised To Take A Leap  
87,2020-12-14 09:00:26.356,"Reliance Securities: Currency And Bond Update - December 14, 2020"
88,2020-12-11 10:34:18.431,"Reliance Securities: Currency And Bond Update - December 11, 2020"
89,2020-12-10 09:08:30.453,"Reliance Securities: Currency And Bond Update - December 10, 2020"
90,2020-12-09 08:55:34.333,"Reliance Securities: Currency And Bond Update - December 09, 2020"
91,2020-12-08 11:03:32.245,"Reliance Securities: Currency And Bond Update - December 08, 2020"
92,2020-12-07 08:51:28.386,"Reliance Securities: Currency And Bond Update - December 07, 2020"
93,2020-12-04 20:56:50.904,"Reliance Securities: Currency And Bond Update - November 26, 2020"
94,2020-12-04 09:04:33.179,"Reliance Securities: Currency And Bond Update - December 04, 2020"
95,2020-12-03 11:23:54.353,Reliance Securities On  Auto Sector  - Post-Festive Slump Might Impact Near-Term Volume
96,2020-12-03 08:42:07.776,"Reliance Securities: Currency And Bond Update - December 03, 2020"
97,2020-12-02 09:04:43.505,"Reliance Securities: Currency And Bond Update - December 02, 2020"
98,2020-12-01 09:21:19.857,"Reliance Securities: Currency And Bond Update - December 01, 2020"
99,2020-11-27 08:48:32.707,"Reliance Securities: Currency And Bond Update - November 27, 2020"
100,2020-11-25 09:33:21.007,"Reliance Securities: Currency And Bond Update - November 25, 2020"
101,2020-11-24 09:22:14.667,"Reliance Securities: Currency And Bond Update - November 24, 2020"
102,2020-11-23 09:04:48.611,"Reliance Securities: Currency And Bond Update - November 23, 2020"
103,2020-11-20 09:02:28.321,"Reliance Securities: Currency And Bond Update- November, 20 2020"
104,2020-11-19 10:36:54.438,"Reliance Securities: Currency And Bond Update- November, 19 2020"
105,2020-11-18 09:01:18.279,"Reliance Securities: Currency And Bond Update - November 18, 2020"
106,2020-11-17 09:20:27.960,"Reliance Securities: Currency And Bond Update - November 17, 2020"
107,2020-11-13 10:43:39.780,"Reliance Securities: Currency And Bond Update - November 13, 2020"
108,2020-11-12 10:29:37.521,"Reliance Securities: Currency And Bond Update - November 12, 2020"
109,2020-11-11 18:11:32.353,Reliance Securities: Minda Industries’ Multiple Growth Drivers Justify Premium Valuation
110,2020-11-11 08:53:32.323,"Reliance Securities: Currency And Bond Update - November 11, 2020"
111,2020-11-10 08:43:39.923,"Reliance Securities: Currency And Bond Update - November 10, 2020"
112,2020-11-09 09:01:20.401,"Reliance Securities: Currency And Bond Update - November 09, 2020"
113,2020-11-06 08:50:50.701,"Reliance Securities: Currency And Bond Update - November 06, 2020"
114,2020-11-05 11:35:01.595,"Reliance Securities: Currency And Bond Update - November 05, 2020"
115,2020-11-04 10:09:40.732,"Reliance Securities: Currency And Bond Update - November 04, 2020"
116,2020-10-29 08:47:18.049,"Reliance Securities: Currency And Bond Update - October 29, 2020"
117,2020-10-28 08:59:11.494,"Reliance Securities: Currency And Bond Update - October 28, 2020"
118,2020-10-27 09:01:58.782,"Reliance Securities: Currency And Bond Update - October 27, 2020"
119,2020-10-26 09:48:17.921,Reliance Securities: Cera Sanitaryware - A Quality Play In Building Materials Space  
120,2020-10-23 10:31:35.103,"Reliance Securities: Currency And Bond Update - October 23, 2020"
121,2020-10-22 10:08:22.185,"Reliance Securities: Currency And Bond Update - October 22, 2020"
122,2020-10-21 09:11:23.712,"Reliance Securities: Currency And Bond Update - October 21, 2020"
123,2020-10-19 09:00:57.397,"Reliance Securities: Currency And Bond Update - October 19, 2020"
124,2020-10-16 08:39:43.956,"Reliance Securities: Currency And Bond Update - October 16, 2020"
125,2020-10-15 09:22:01.489,"Reliance Securities: Currency And Bond Update - October 15, 2020"
126,2020-10-14 09:03:07.598,"Reliance Securities: Currency And Bond Update - October 14, 2020"
127,2020-10-13 10:46:42.512,"Reliance Securities: Currency And Bond Update - October 13, 2020"
128,2020-10-09 10:12:26.794,"Reliance Securities: Cement’s Demand Staged A Firm Recovery; Soft Pricing, Cost Inflation To Drag Q2 Profitability - Preview "
129,2020-10-09 09:09:13.687,"Reliance Securities: Currency And Bond Update - October 09, 2020"
130,2020-10-08 08:51:22.859,"Reliance Securities: Currency And Bond Update - October 08, 2020"
131,2020-10-07 10:20:33.660,"Reliance Securities: Currency And Bond Update - October 07, 2020"
132,2020-10-06 09:02:42.548,"Reliance Securities: Currency And Bond Update - October 06, 2020"
